commit	mean_macro_f1	st1_macro_f1	st2_macro_f1	st3_macro_f1	st3_family_macro_f1	model	status	description
d0e1608	0.614	0.710	0.614	0.519	0.602	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	keep	baseline: one-forward-per-instance GreaseLM+LoRA, lora_r=64/alpha=128/dropout=0.1 on query,value,key,dense, k=2 cross-modal layers, pos_weight, st3_loss_weight=2.0, lr=2e-4, full train/dev, 10 epochs, batch=16
d0e1608	0.606	0.714	0.592	0.512	0.602	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=3)	discard	exp02: exp01 recipe with k 2->3 (more cross-modal GATConvE+MInt layers). Best at epoch10 (0.606), slightly below exp01's 0.614 and noisier epoch-to-epoch (0.461/0.480/0.532/0.544/0.571/0.594/0.600/0.584/0.596/0.606) than exp01's steadier climb. More cross-modal layers does not help here; reverting to k=2 as standing default
d0e1608	0.610	0.708	0.609	0.513	0.591	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	discard	exp03: exp01 recipe with max_length 256->384 (more context for the LM). Best at epoch10 (0.610, tied epoch9), slightly below exp01's 0.614. More context doesn't help here (segments/labels already substring-matched on full untruncated text regardless of max_length) and costs more compute (~1.7min/epoch vs exp01's ~1.1min); reverting to max_length=256 as standing default
d0e1608	0.619	0.700	0.605	0.554	0.617	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	keep	exp04: exp01 recipe with lora_alpha 128->192 (r=64 unchanged, alpha/r ratio 2.0->3.0). New best, best at epoch8 (mean_macro_f1=0.619 vs exp01's 0.614), st3 notably up (0.554 vs 0.519) and st3_family too (0.617 vs 0.602), st1 down a touch (0.700 vs 0.710). Epochs 8-10 close together (0.619/0.613/0.612), plateaued rather than still climbing. Adopting alpha=192 as new standing default, trying alpha=256 next to see if the pattern from the plain-LoRA sweep (peak near alpha=128, overshoot at 256) also holds here
d0e1608	0.615	0.694	0.601	0.551	0.632	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	discard	exp05: exp04 recipe with lora_alpha 192->256 (alpha/r ratio 3.0->4.0). Best at epoch10 (0.615, still climbing: 0.596/0.609/0.615), close to but below exp04's 0.619. st3_family hits a new high (0.632) but st1/st2 both slightly down vs exp04. Confirms alpha=192 is at or near the ceiling of this sweep; reverting to alpha=192 (exp04) as standing default and closing out the alpha sweep
d0e1608	0.598	0.658	0.580	0.554	0.625	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	discard	exp06: exp04 recipe (alpha=192) with st3_loss_weight 2.0->3.0. Best at epoch10 (0.598, tied epoch7's 0.598), well below exp04's 0.619 -- st3 continues climbing (0.554, best yet at this alpha) and st3_family hits 0.625 but st1/st2 both drop noticeably (st1 0.658-0.689 vs exp04's 0.660-0.700, st2 0.580 vs 0.605), net loss. Reverting to st3_loss_weight=2.0 (exp04) as standing default
d0e1608	0.629	0.756	0.585	0.547	0.619	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	keep	exp07: exp04 recipe (alpha=192) with batch_size 16->8 (more gradient updates per epoch: 294 steps vs 148). New best, best at epoch8 (mean_macro_f1=0.629, st1 spikes to 0.756), above exp04's 0.619. Noisier st1 epoch-to-epoch (0.594/0.599/0.583/0.604/0.585/0.625/0.655/0.756/0.672/0.691) consistent with smaller batch size, but net win. Adopting batch_size=8 as new standing default
d0e1608	0.116	0.165	0.179	0.003	0.105	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	discard	exp08: exp07 recipe (bs=8, alpha=192) with bigger GNN capacity: concept_dim 100->128, n_attention_head 2->4, fc_dim 200->300. Broke training: train loss flat ~4.35-4.44 across all 10 epochs (vs exp07's steady 4.11->1.49 decline) and dev metrics cycle between two near-constant values every epoch (st2=0.179 and st3=0.003 literally constant all 10 epochs) -- looks like output collapsed to an input-independent constant rather than a shape bug (isolated 8-example overfit smoke test with the same concept_dim/n_attention_head/fc_dim DID show loss dropping 3.77->2.45 over 5 steps with real LoRA/trunk/head gradients, so the model is not structurally broken). Best guess without deeper investigation (kept brief per budget): scaling the GNN-side width while keeping the shared global grad-clip norm=1.0 across ALL trainable params (LoRA + GNN + trunk + heads together) may starve the LoRA/backbone's effective update size once the larger trunk/pooler/GATConvE contribute more raw gradient mass at full-dataset scale (not visible in a 5-step/8-example smoke test); alternatively a BatchNorm1d running-stats instability inside GATConvE's edge_encoder/mlp at the wider channel count, triggered only by real full-dataset batch diversity. Reverting to exp07's concept_dim=100/n_attention_head=2/fc_dim=200 as standing default; not pursuing GNN-capacity scaling further this session
d0e1608	0.588	0.689	0.586	0.488	0.561	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	discard	exp09: exp07 recipe (bs=8, alpha=192) with lr 2e-4->1e-4 (hoping to smooth exp07's noisy epoch-to-epoch st1 swings, e.g. its spike to 0.756 at epoch8). Best at epoch5 (mean_macro_f1=0.588) then plateaus/declines (0.567/0.577/0.563/0.561/0.557) -- clearly below exp07's 0.629 and even below exp01's 0.614. Lower lr just slows convergence within the fixed 10-epoch budget rather than stabilizing it; reverting to lr=2e-4 (exp07) as standing default
d0e1608	0.606	0.735	0.586	0.498	0.615	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	discard	exp10: exp07 recipe (bs=8, alpha=192) with lora_dropout 0.1->0.05 (less regularization, hoping to help the already-strong bs=8 recipe converge further). Best at epoch6 (mean_macro_f1=0.606, st1 spikes to 0.735) then wobbles down (0.572/0.599/0.586/0.583), below exp07's 0.629. Less dropout doesn't help at this alpha/batch-size combo; exp07 (dropout=0.1) remains the best recipe found this session. Closing out the 10-iteration budget
d0e1608	0.602	0.690	0.590	0.529	0.615	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2)	discard	exp11: exp07 recipe (bs=8, alpha=192, seed=42) rerun with seed=1 to check stability. Best at epoch5 (0.602), below exp07's 0.629 -- a ~0.027 gap purely from seed, confirming this recipe has real epoch-to-epoch/seed-to-seed noise (consistent with the st1 swings already seen at bs=8). Not a hyperparameter change, a variance check; exp07 (seed=42) remains the logged best since that's the actual run recorded, but true expected performance of this recipe is more like 0.60-0.63 than a single point estimate
d0e1608	0.606	0.677	0.610	0.530	0.624	FacebookAI/roberta-base+GreaseLM-LoRA(kg=legal,k=2)	discard	exp12: exp07 recipe (bs=8, alpha=192) with kg_mode combined->legal (only st3_flag nodes are real in this graph; st1/st2 candidate nodes are all isolated placeholders per _mint_missing_candidate_nodes). Best at epoch10, still climbing (0.606), below exp07's 0.606 combined but closer than expected -- suggests the GNN's contribution on this task leans more on the LM-side substring-heuristic node marking and MInt fusion mechanics than on rich graph connectivity specifically, since even a mostly-isolated-node graph gets most of the way there. Reverting to kg_mode=combined as standing default (still the only KG with real coverage for every label)
d0e1608	0.601	0.683	0.582	0.537	0.615	FacebookAI/roberta-base+GreaseLM-LoRA(kg=flow,k=2)	discard	exp13: exp07 recipe (bs=8, alpha=192) with kg_mode combined->flow (no st1/st2/st3 label nodes at all in this graph -- every candidate node is an isolated placeholder, only the flow's own reasoning/instrument/outcome nodes are real). Best at epoch10 (0.601), close to legal (0.606) and combined (0.629) but still below both. Confirms kg_mode ranking combined > legal > flow, i.e. richer graph coverage for the actual candidate labels does help somewhat, though the gap is smaller than expected (0.601 vs 0.629, ~0.028) -- most of the mechanism's value seems to come from the substring-heuristic node marking + MInt fusion architecture itself rather than deep graph connectivity. Reverting to kg_mode=combined as standing default, closing out the kg_mode ablation
d0e1608	0.603	0.689	0.583	0.538	0.595	FacebookAI/roberta-base+GreaseLM-LoRA(kg=combined,k=2,info_exchange=off)	discard	exp14: exp07 recipe (bs=8, alpha=192) with --no-info-exchange (disables MInt: the GATConvE layer still runs and updates node embeddings that feed graph_vecs/Z_vecs into the trunk, but the bidirectional LM[CLS]<->GNN-context-node fusion mid-network is skipped). Best at epoch9 (0.603), below exp07's 0.629 with info_exchange on (~0.026 gap) -- confirms MInt fusion is doing real, positive work, not just the graph-vecs/Z_vecs pooling alone at the end. Reverting to info_exchange=True (default) as standing default; this ablation is useful evidence the GreaseLM mechanism (not just LoRA) is contributing to the win
