commit,script,model,approach,dev_macro_f1,dev_none_f1,dev_none_precision,dev_none_recall,test_macro_f1,test_none_f1,test_none_precision,test_none_recall,status,description
317559a,lora_train_st1_none.py,FacebookAI/roberta-base,binary_none_vs_not,0.759,0.526,1.000,0.357,0.611,0.235,0.250,0.222,keep,"First real run of the user's dedicated binary none-vs-not-none classifier (script committed directly by the user at 317559a, not built by this session), pivoting away from the LoRA-generative-Qwen track per explicit user request ('try using smaller, simpler models like encoders + MLPs'). LoRA-adapted roberta-base (r=8/alpha=16, query/value target modules), --context full, --class-weight (inverse-train-freq CE weighting) + --oversample-none 3, epochs=5, batch-size=16, max-length=512, test-holdout=500 (split_seed=random, fresh). MUCH cheaper than the Qwen generative track: ~45s/epoch (vs 13-17min/epoch for Qwen3-0.6B at max-length 4096) and only ~1-5GB VRAM (vs ~16-18GB) -- roberta-base is 125M params vs Qwen3-0.6B's 600M, and only the classifier head + LoRA adapters + query/value projections train (889K trainable params, 0.7%). RESULT: dev macro_f1=0.759 (none_precision=1.000/recall=0.357/f1=0.526, i.e. every none-prediction was correct but the model was conservative, missing 9/14 gold none) vs test macro_f1=0.611 (none_precision=0.250/recall=0.222/f1=0.235, tp=2/fp=6/fn=7 on 9 gold none in this holdout draw) -- a real generalization gap (-0.148 macro), similar magnitude of dev/test disagreement to what the Qwen generative track saw on its first (non-replicated) pos-weight+oversample attempt. Best epoch plateaued at epoch 3 (macro_f1=0.759, unchanged through epoch 5) -- train loss kept dropping (0.64->0.21) without further dev gains, a mild overfitting signal past epoch 3. CONCLUSION: a real, working, MUCH cheaper alternative to the generative approach for isolating the none class, but not yet clearly better at generalizing -- test none_f1 (0.235) is in a similar range to the generative track's early attempts (before pos-weight+oversample replication settled around 0.375-0.500 test none F1). Worth a replicate (fresh split) before drawing firm conclusions, same lesson as the generative track's rotating-test-holdout noise floor. Next: the full 5-way st1 classifier (lora_train_st1_classifier.py, new script this session)."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.598,0.452,n/a,n/a,0.559,0.381,n/a,n/a,keep,"First run of a NEW script (lora_train_st1_classifier.py, written this session, generalizing the user's binary lora_train_st1_none.py to the full 5-way st1 taxonomy: digital_content_or_services/none/other/physical_goods/physical_services). Same encoder+MLP philosophy as the binary run above -- LoRA-adapted roberta-base (r=8/alpha=16, query/value), --context full, --class-weight (inverse-train-freq per-class CE weighting) + --oversample-rare-st1 3 (duplicates none/other, the two classes under 5%% train freq), epochs=5, batch-size=16, max-length=512, test-holdout=500 fresh split. Smoke-tested end to end (--sample-size 16 --epochs 1 --device cpu) before this real run. RESULT: dev macro_f1=0.598 (best at epoch 5; per-label: digital=0.876, none=0.452, other=0.000, physical_goods=0.872, physical_services=0.792), test macro_f1=0.559 (digital=0.897, none=0.381, other=0.000, physical_goods=0.862, physical_services=0.654) -- dev and test AGREE closely (gap -0.039) and dev>=test, the trustworthy generalization pattern per updated feedback_rotating_test_holdout guidance. Does NOT collapse: unlike an unweighted/no-oversample baseline would likely do (untested here, but matches the generative track's own baseline-vs-lever story), none gets real, non-trivial F1 on both dev (0.452) and test (0.381), broadly comparable to (and on test, only slightly below) the binary none-only classifier's dev=0.526/test=0.235 -- the joint 5-way task's none score is actually MORE stable/higher on test than the binary-only model's, plausibly because the 5-way softmax's class-weighted CE spreads useful signal across all classes at once rather than optimizing a single binary boundary in isolation. 'other' stayed at 0.000 both dev/test (near-zero train instances, consistent with every other 'other'-label finding across both the encoder and generative tracks this session -- essentially unlearnable at this data scale regardless of architecture). Training is dramatically cheaper than the Qwen3-0.6B generative track: full 5-epoch run (train+dev eval every epoch+test-holdout) completed in ~4.5 minutes wall-clock (vs 60-90+ minutes for the generative track's 5-epoch runs), ~1-5GB VRAM vs ~16-18GB. CONCLUSION: a genuinely working, much cheaper 'just st1' encoder+MLP classifier that does not collapse on the rare classes, with the best dev/test agreement seen in this session across BOTH tracks (generative and encoder) -- strong candidate to replicate (fresh split) and potentially extend (legal-bert-base as an alternate encoder, deeper unfrozen-layer counts, or last_layer_train.py's frozen-encoder variant for an even cheaper baseline)."
new,lora_train_st1_none.py,FacebookAI/roberta-base,binary_none_vs_not,0.759,0.526,1.000,0.357,0.663,0.333,0.667,0.222,keep,"REPLICATE (fresh split) of the binary none-vs-not classifier. Striking result: dev metrics are an EXACT match to the first run (macro_f1=0.759, none precision=1.000/recall=0.357/f1=0.526, identical tp=5/fp=0/fn=9 counts) despite a different train/test-holdout split -- dev.jsonl is fixed and unaffected by the split, and the model's decision behavior on it converged identically both times, a good sign of low training variance for this small/cheap setup. Test differs from the first run as expected (rotating holdout, different composition): macro_f1=0.663 (vs first run's 0.611, +0.052), none_f1=0.333 (vs 0.235, tp=2/fp=1/fn=7 this time vs tp=2/fp=6/fn=7) -- same general ballpark, consistent direction (dev>=test both times), no contradiction. CONCLUSION: dev result for this model/recipe is highly reproducible; test still carries meaningful noise from small none gold counts in the rotating holdout, same lesson as the generative track, but nothing here contradicts the first run's read."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.559,0.370,n/a,n/a,0.553,0.286,n/a,n/a,keep,"REPLICATE (fresh split) of the 5-way st1 classifier. RESULT: dev macro_f1=0.559 (vs first run's 0.598, -0.039), test macro_f1=0.553 (vs first run's 0.559, -0.006) -- both runs land in a similar band (0.55-0.60 dev, 0.55-0.56 test) and BOTH replicates show the same excellent dev/test agreement pattern (gap -0.006 here vs -0.039 in the first run, both dev>=test). none F1: dev=0.370 (vs first run's 0.452), test=0.286 (vs first run's 0.381) -- somewhat lower this time but still clearly non-zero/non-collapsed on both dev and test, and 'other' again stayed at 0.000 both runs. CONCLUSION: the 5-way encoder+MLP classifier reproduces its core finding cleanly across two independent splits -- real, working, non-collapsing st1 classification with consistently strong dev/test agreement (the best-agreeing config found anywhere in this session, both generative and encoder tracks), at a small fraction of the generative track's compute cost. This is now the most trustworthy 'just st1' result of the session."
new,lora_train_st1_classifier.py,nlpaueb/legal-bert-base-uncased,multiclass_st1_5way,0.394,0.140,n/a,n/a,0.339,0.000,n/a,n/a,discard,"Alternate-encoder comparison: same recipe as the roberta-base 5-way runs (r=8/alpha=16 LoRA on query/value, --context full, --class-weight + --oversample-rare-st1 3, epochs=5, batch-size=16, lr=2e-4, untuned -- no LR retune attempted for this different base model), swapping FacebookAI/roberta-base for nlpaueb/legal-bert-base-uncased (already fully cached locally, 841MB, confirmed not an empty stub before running). RESULT: clearly worse and slower-converging than roberta-base at identical hyperparameters. Train loss barely moved through epoch 3 (1.48->1.29, vs roberta's 1.39->0.60) and even by epoch 5 was still at 0.96 (roberta plateaus near 0.4-0.5 by epoch 2-3). Dev macro_f1 only reached 0.394 by epoch 5 (still climbing, no plateau reached -- vs roberta's ~0.55-0.60 plateau by epoch 2-3), and worse, TEST none F1 collapsed to 0.000 (vs roberta's 0.286-0.381 on both replicates) despite dev showing some none signal (0.140-0.186) -- a real generalization failure on the weakest class, not just slower convergence. CONCLUSION: legal-bert-base-uncased is a clearly worse fit for this task at these (roberta-tuned) hyperparameters -- plausibly its legal-domain pretraining vocabulary/style is a poor match for informal video-transcript/livestream content, or it simply needs a different (likely higher) LR / more epochs to reach comparable performance -- NOT tuned here, this is an apples-to-apples-hyperparameters comparison only. Discarding for now; would need its own LR sweep before writing off the architecture entirely, but roberta-base remains the clear standing choice for this encoder track."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.586,0.400,n/a,n/a,0.537,0.261,n/a,n/a,discard,"Hyperparameter sweep on the 5-way st1 classifier (HANDOFF next-candidate #2), fresh split, capacity bump vs the r8/a16 baseline: --lora-r 16 --lora-alpha 32, everything else unchanged (--class-weight --oversample-rare-st1 3, single LR=2e-4 for both LoRA and head, epochs=5, test-holdout=500). Best dev checkpoint was epoch 3 (macro_f1=0.586, per-label: digital=0.880, none=0.400, other=0.000, physical_goods=0.873, physical_services=0.776) -- dev plateaued/slightly regressed epoch 4-5 (0.582 both), same pattern as the baseline's epoch-3 plateau. Test macro_f1=0.537 (digital=0.883, none=0.261, other=0.000, physical_goods=0.865, physical_services=0.679), dev/test gap -0.049 (dev>=test, still the trustworthy direction) but both dev and especially test none_f1 (0.261) land BELOW the r8/a16 baseline's two replicates (dev 0.452/0.370, test 0.381/0.286) and below the r16a32 capacity bump's own dev (0.400). CONCLUSION: capacity bump does not help this task, consistent with Track 1's own r16a32-regresses-at-r32 finding (inverted-U) -- here the regression shows up even at r16, one step earlier than Track 1's sweep. r8/a16 remains the standing default; no reason to move up in capacity for this classifier."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.587,0.519,n/a,n/a,0.547,0.200,n/a,n/a,discard,"Hyperparameter sweep on the 5-way st1 classifier (HANDOFF next-candidate #2), fresh split, separate higher head LR vs the r8/a16 single-LR baseline: --head-lr 1e-3 (LoRA adapters stay at --lr 2e-4), everything else unchanged. Best dev checkpoint was epoch 4 (macro_f1=0.587, per-label: digital=0.889, none=0.519, other=0.000, physical_goods=0.862, physical_services=0.667) -- notably dev none_f1=0.519 is the BEST none score seen anywhere in this classifier's history (vs baseline's 0.370-0.452), suggesting the faster-learning head does help the rare class ON DEV. But test macro_f1=0.547 (digital=0.892, none=0.200, other=0.000, physical_goods=0.879, physical_services=0.765) and test none_f1 COLLAPSED to 0.200, the worst test none score seen for this classifier and a much larger dev-test gap on the none label specifically (0.519->0.200) than the baseline ever showed -- a real generalization failure on the one class this change was meant to help, not just noise (the overall macro gap, -0.040, still looks fine and hides this). CONCLUSION: separate head-LR=1e-3 overfits the none class to the dev split specifically; do NOT adopt over the single-LR r8/a16 baseline. Neither sweep direction (capacity or head-LR) beat the standing default this round -- r8/a16/single-LR/oversample-rare-st1=3 remains the best config found for this classifier."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.580,0.500,n/a,n/a,0.568,0.400,n/a,n/a,keep,"Hyperparameter sweep on the 5-way st1 classifier (untried axis flagged in HANDOFF), fresh split, oversample factor DOWN vs the standing --oversample-rare-st1 3: --oversample-rare-st1 2, everything else unchanged (r8/a16, --class-weight, single LR=2e-4, epochs=5, test-holdout=500). Best dev checkpoint epoch 3 (macro_f1=0.580, per-label: digital=0.873, none=0.500, other=0.000, physical_goods=0.872, physical_services=0.656) -- note dev none_f1=0.500 is the 2nd-best dev none score seen for this classifier (behind only the head-lr=1e-3 run's 0.519, which collapsed on test). Test macro_f1=0.568 (digital=0.877, none=0.400, other=0.000, physical_goods=0.879, physical_services=0.684) -- BEATS both oversample=3 baseline replicates on test macro_f1 (0.559/0.553) AND test none_f1 (0.400 vs 0.381/0.286), with the tightest dev/test gap seen for this classifier (0.012, vs baseline's 0.039/0.006). CONCLUSION: lighter oversampling (2x instead of 3x) looks like a genuine improvement, not just noise -- less aggressive duplication of the rare none/other class may reduce a mild overfit-to-duplicates effect while still giving the class-weighted loss enough rare-class exposure. Promising candidate for PRIMARY standing default; needs a fresh-split replicate before promoting over oversample=3, per standing practice (every surprising result this session has required replication before trusting it)."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.553,0.364,n/a,n/a,0.525,0.296,n/a,n/a,discard,"Hyperparameter sweep on the 5-way st1 classifier, fresh split, oversample factor UP vs the standing --oversample-rare-st1 3: --oversample-rare-st1 5, everything else unchanged. Best dev checkpoint epoch 3 (macro_f1=0.553, per-label: digital=0.859, none=0.364, other=0.000, physical_goods=0.861, physical_services=0.680). Test macro_f1=0.525 (digital=0.868, none=0.296, other=0.000, physical_goods=0.848, physical_services=0.615), dev/test gap 0.028 (dev>=test, agrees) but both dev and test macro/none land below the oversample=3 baseline's two replicates. CONCLUSION: heavier oversampling regresses, consistent with the oversample=2 result above -- more train-set duplication of the rare classes appears to hurt rather than help this classifier, opposite of what the generative track found (Track 1 uses oversample=3 as part of its own winning recipe, but that track's rare-class base rate and duplication mechanics differ). Combined with the oversample=2 finding, the emerging pattern is: LESS oversampling of rare st1 labels is better for this encoder+MLP classifier. Discarding =5; oversample=2 is now the leading candidate to replicate next."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.574,0.368,n/a,n/a,0.532,0.160,n/a,n/a,keep,"REPLICATE (fresh split) of --oversample-rare-st1 2. Dev macro_f1=0.574 (best@epoch5, none=0.368) is close to run 1's dev=0.580 -- reproduces fine. But test macro_f1=0.532 (vs run1's 0.568) and test none_f1=0.160 (vs run1's 0.400!) -- a large swing on the none label specifically between the two fresh-split draws, the same rotating-test-holdout noise pattern flagged in feedback_rotating_test_holdout (small none gold counts per draw). CORRECTION to the optimistic read after run 1: oversample=2's test macro_f1 across both replicates (0.568, 0.532, mean~0.550) lands in essentially the SAME band as the oversample=3 baseline's two replicates (0.559, 0.553, mean~0.556) -- not a confirmed improvement, the first run's apparent win was likely a favorable draw on which none instances fell in the holdout, not a real effect of the lighter oversampling factor. CONCLUSION: oversample=2 is NOT clearly better than oversample=3; both are roughly equivalent on this noisy small-none-count metric. Do not promote oversample=2 over the standing oversample=3 default -- treat as inconclusive, filed under 'keep' only because it's a valid data point, not because it won."
