commit,seed,st3_macro_f1,st3_family_macro_f1,f1_age_restricted_or_prohibited_product,f1_direct_exhortation,f1_hfss_food_marketing,f1_inadequate_disclosure,f1_insufficient_context,f1_misleading_claim,f1_no_flag,f1_undisclosed_advertising,fam_content,fam_disclosure,fam_housekeeping,fam_product,status,description
0177dec,42,0.248,0.313,0.000,0.353,0.000,0.375,0.296,0.098,0.462,0.400,0.300,0.431,0.522,0.000,keep,"BASELINE (seed-pinned; supersedes an earlier unseeded 0.162 reading -- --sample-size 100 draws a random subset of dev.jsonl's 504 rows each run when --seed is unset, so unseeded runs are not comparable to each other. All experiments below use --seed 42 for a fixed 100-row eval set.) gpt-5.4-nano st3-only lean-prompt+dialog-flow+few-shot. gold dist: age=1 de=16 hfss=2 id=13 insuff=4 mc=57 noflag=24 ua=18. pred dist: age=1 de=18 hfss=3 id=3 insuff=23 mc=4 noflag=41 ua=17. dominant failure: misleading_claim (majority gold class, 57/100) almost never predicted (only 4x); routed instead to no_flag:25, undisclosed_advertising:12, direct_exhortation:9, insufficient_context:9. insufficient_context also over-triggers (pred=23 vs gold=4) across all other categories."
c922430,42,0.199,0.308,0.000,0.400,0.000,0.000,0.143,0.453,0.408,0.187,0.541,0.163,0.527,0.000,discard,"exp1: added misleading_claim to FEW_SHOT_LABELS (previously only direct_exhortation/inadequate_disclosure/insufficient_context had a live exemplar, despite misleading_claim being the majority gold class and worst-predicted). Fixed misleading_claim (F1 0.098->0.453, pred 4->18, 17 correct) but collapsed inadequate_disclosure to 0.000 (13 gold, 0 correct -- was 0.375/3-correct at baseline) and worsened insufficient_context over-triggering (pred 23->38 vs gold=4). Net st3_macro_f1 regression (0.248->0.199). Reverted in commit 86bd2d0; branch tip returned to baseline content."
f751900,42,0.113,0.251,0.000,0.240,0.000,0.000,0.140,0.068,0.286,0.171,0.229,0.286,0.491,0.000,discard,"exp2: rewrote the dialog flow's Assessability node instructions to frame insufficient_context as a high bar (near-empty/cut-off segments only) and explicitly told the model a hard judgment call is not the same as insufficient context. Backfired hard: insufficient_context pred went 23->53 (worse, not better) and st3_macro_f1 cratered 0.248->0.113 -- every other label's F1 dropped too, including misleading_claim 0.098->0.068 (pred 4->2). Hypothesis: for a model this size, dwelling on/repeating the label name to argue against it primes selection of it rather than suppressing it. Reverted in commit cfeb686; branch tip back to baseline content. Takeaway: prose persuasion against an escape-hatch label is fragile on nano -- try a structural fix (e.g. drop the label from this node's enum, or move guidance elsewhere) rather than more forceful wording."
e7de731,42,0.276,0.385,0.222,0.308,0.000,0.190,0.320,0.356,0.456,0.356,0.500,0.400,0.488,0.154,keep,"exp3: added concrete anchors to the Disclosure-and-Claims node's misleading_claim clause (specific number / comparison / guarantee / health-fitness-skincare-supplement benefit stated as fact), purely additive positive framing, no few-shot change, Assessability node untouched. FIRST GENUINE WIN: st3_macro_f1 0.248->0.276, family 0.313->0.385. misleading_claim F1 0.098->0.356 (pred 4->16, 13 correct); age_restricted 0.000->0.222 (small n, gold=1). Costs: inadequate_disclosure 0.375->0.190 (pred 3->8) and undisclosed_advertising 0.400->0.356 (pred17->27) softened, and misleading_claim->undisclosed_advertising became the single biggest remaining confusion (21 of 57), suggesting the node's sequential if/if/if/if prose reads to nano as a priority cascade (pick one, stop) rather than four independent checks that can co-fire -- candidate for exp4."
0e493e0,42,0.286,0.392,0.400,0.419,0.000,0.190,0.222,0.476,0.351,0.231,0.588,0.353,0.427,0.200,keep,"exp4: reframed the same node's four checks as independent/co-firing with an explicit worked example (undisclosed sponsorship + unsubstantiated claim both applying at once). KEPT (net win on primary KPI): st3_macro_f1 0.286 (+0.010), family 0.392. misleading_claim F1 0.356->0.476 (pred 16->27, 20 correct), direct_exhortation 0.308->0.419, age_restricted 0.222->0.400. But undisclosed_advertising kept degrading (0.356->0.231, pred 27->34) and misleading_claim->undisclosed_advertising, the confusion this was meant to fix, got WORSE not better (21->25) -- the cascade-blocking hypothesis looks wrong; the co-occurrence worked example may instead be priming the model to pair the two flags together more often, applicable or not. Candidate exp5: keep the 'run independently, emit every that applies' framing but drop the concrete co-occurrence example to isolate its effect."
4896935,42,0.248,0.410,0.400,0.214,0.000,0.174,0.143,0.371,0.355,0.326,0.450,0.452,0.489,0.250,discard,"exp5: isolated exp4's change by dropping the co-occurrence worked example, keeping only 'run all four checks independently, emit every one that applies'. Regressed the primary KPI back to baseline: st3_macro_f1 0.286->0.248 (family rose 0.392->0.410, but macro F1 is the stated goal). misleading_claim F1 also fell 0.476->0.371 (pred 27->13) -- the worked example was doing double duty (driving general recall on the node, not just pairing the two disclosure flags). Reverted in commit afbfc62; branch tip back to exp4 content."
d3dd64a,42,0.272,0.393,0.286,0.412,0.000,0.167,0.200,0.530,0.302,0.281,0.646,0.333,0.411,0.182,discard,"exp6: gave the undisclosed_advertising clause concrete positive anchors (sponsor mention / paid-partnership label / affiliate-link disclaimer) and told the model to check the whole transcript+description before concluding none exists, mirroring exp3's successful misleading_claim treatment. Backfired on precision: undisclosed_advertising pred went 34->39 (worse), F1 only ticked up slightly (0.231->0.281) because true positives rose too. misleading_claim kept improving anyway (0.476->0.530) as a side effect. Net st3_macro_f1 0.286->0.272, discard. Reverted in commit 9650969. Pattern across exp2/4/5/6: edits to this node tend to move overall recall/attention broadly (both right and wrong predictions rise together) rather than surgically fixing precision on the targeted label -- diminishing returns from further node-prose tweaks here."
d343ef7,42,0.228,0.399,0.250,0.118,0.000,0.000,0.200,0.506,0.407,0.346,0.522,0.423,0.486,0.167,discard,"exp7: shrank the Assessability node, dropping the explicit 'if too short/vague/ambiguous, treat as insufficient_context' trigger sentence entirely (opposite bet from exp2: say less about the label instead of arguing against it). st3_macro_f1 0.286->0.228. Oddly, the biggest single casualty was direct_exhortation (F1 0.419->0.118, true positives 9->2) -- a node this change did not touch, which is the first clear sign that a large chunk of the run-to-run swings being measured are LLM sampling noise, not causal effects of the edit under test. Reverted in commit 9473e61; branch tip back to exp4 content. Triggered a variance check (next 3 rows) before continuing."
0e493e0,42,0.238,0.365,0.000,0.333,0.000,0.100,0.333,0.436,0.333,0.367,0.547,0.478,0.436,0.000,keep,"VARIANCE CHECK repeat #2 of exp4's exact content (temperature=0 already set in ChatOpenAI(), so this is gpt-5.4-nano's residual non-determinism at temp=0, not a temperature setting issue). No code change from row above (0e493e0 keep entry). Confirms real run-to-run swing on identical prompt+data: 0.286 (run 1) vs 0.238 (this run)."
0e493e0,42,0.317,0.458,0.333,0.409,0.000,0.105,0.375,0.524,0.484,0.308,0.646,0.500,0.487,0.200,keep,"VARIANCE CHECK repeat #3 of exp4's exact content. Three samples of the identical branch-tip prompt: st3_macro_f1 = {0.286, 0.238, 0.317}, mean=0.280, sample std~=0.040. misleading_claim F1 across all three: {0.476, 0.436, 0.524}, mean=0.479 -- tight and consistently far above baseline's misleading_claim readings, so that specific effect (from exp3) reads as robust despite the overall macro-F1 noise band."
