commit,split_seed,estimator,params,test_st3_macro_f1,test_st3_family_macro_f1,dev_st3_macro_f1,dev_st3_family_macro_f1,train_st3_macro_f1,model,description
dd7f95e,42,forest,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200}",0.525,0.619,0.512,0.590,0.794,classical_ml_sklearn,"Full grid (tree/forest/histgb/logreg) over findings-derived features + top-800 TF-IDF, per-label thresholds tuned on dev via predict_proba. Random forest won; single decision tree topped out around dev=0.39, histgb=0.50, logreg=0.49, tuned MLP=0.48 on the same feature space."
dd7f95e,696232051,forest,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.433,0.597,0.539,0.577,0.921,classical_ml_sklearn,"Classical-ML grid (tree/forest/histgb/logreg) over findings-derived features + top-800 TF-IDF, per-label thresholds tuned on dev via predict_proba."
dd7f95e,625417260,forest,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 500}",0.457,0.575,0.511,0.582,0.701,classical_ml_sklearn,"Classical-ML grid (tree/forest/histgb/logreg) over findings-derived features + top-800 TF-IDF, per-label thresholds tuned on dev via predict_proba."
dd7f95e,42,per_label_ensemble,"{'age_restricted_or_prohibited_product': 'structural/logreg', 'direct_exhortation': 'full/histgb', 'hfss_food_marketing': 'structural/xgboost', 'inadequate_disclosure': 'structural/tree', 'insufficient_context': 'full/forest', 'misleading_claim': 'full/xgboost', 'no_flag': 'full/voting_ensemble', 'undisclosed_advertising': 'full/logreg'}",0.445,0.537,0.539,0.609,0.758,classical_ml_sklearn,"Per-label independent model+feature-view search (full/structural/label-specific narrow view x tree/forest/histgb/logreg/xgboost/voting-ensemble), each label keeps whichever combo wins its own dev F1, thresholds tuned per label on dev."
dd7f95e,241806028,per_label_ensemble,"{'age_restricted_or_prohibited_product': 'structural/tree', 'direct_exhortation': 'structural/forest', 'hfss_food_marketing': 'structural/xgboost', 'inadequate_disclosure': 'full/voting_ensemble', 'insufficient_context': 'full/xgboost', 'misleading_claim': 'full/histgb', 'no_flag': 'full/voting_ensemble', 'undisclosed_advertising': 'full/xgboost'}",0.516,0.620,0.587,0.621,0.795,classical_ml_sklearn,"Per-label independent model+feature-view search (full/structural/label-specific narrow view x tree/forest/histgb/logreg/xgboost/voting-ensemble), each label keeps whichever combo wins its own dev F1, thresholds tuned per label on dev."
dd7f95e,469539987,per_label_ensemble,"{'age_restricted_or_prohibited_product': 'structural/tree', 'direct_exhortation': 'full/logreg', 'hfss_food_marketing': 'full/histgb', 'inadequate_disclosure': 'disclosure/tree', 'insufficient_context': 'emptiness/tree', 'misleading_claim': 'full/histgb', 'no_flag': 'full/voting_ensemble', 'undisclosed_advertising': 'full/xgboost'}",0.415,0.513,0.577,0.620,0.670,classical_ml_sklearn,"Per-label independent model+feature-view search (full/structural/label-specific narrow view x tree/forest/histgb/logreg/xgboost/voting-ensemble), each label keeps whichever combo wins its own dev F1, thresholds tuned per label on dev."
dd7f95e,42,two_label_focus,"{'undisclosed_advertising': {'model': 'logreg_C1.0', 'threshold': np.float64(0.8), 'dev_f1': 0.8705877436680977, 'test_f1': 0.8435369188766859, 'test_precision': 0.775, 'test_recall': 0.9253731343283582, 'n_train_pos': 285}, 'insufficient_context': {'model': 'logreg_C1.0', 'threshold': np.float64(0.6000000000000001), 'dev_f1': 0.3999995968004064, 'test_f1': 0.24999969531287133, 'test_precision': 0.15384615384615385, 'test_recall': 0.6666666666666666, 'n_train_pos': 12}}",0.547,,0.635,,,classical_ml_sklearn,"Dedicated small-feature-set + CV-selected binary classifiers for undisclosed_advertising and insufficient_context only (per-label F1: [('undisclosed_advertising', 0.844), ('insufficient_context', 0.25)]). Not directly comparable to the full-8-label st3_macro_f1 rows above -- test_st3_macro_f1/dev_st3_macro_f1 columns here are the mean over just these 2 labels."
dd7f95e,385174220,two_label_focus,"{'undisclosed_advertising': {'model': 'logreg_C1.0', 'threshold': np.float64(0.7500000000000001), 'dev_f1': 0.8705877436680977, 'test_f1': 0.8902434031085489, 'test_precision': 0.8588235294117647, 'test_recall': 0.9240506329113924, 'n_train_pos': 273}, 'insufficient_context': {'model': 'logreg_C0.1', 'threshold': np.float64(0.9500000000000001), 'dev_f1': 0.3999995450005176, 'test_f1': 0.39999968000025604, 'test_precision': 0.25, 'test_recall': 1.0, 'n_train_pos': 14}}",0.645,,0.635,,,classical_ml_sklearn,"Dedicated small-feature-set + CV-selected binary classifiers for undisclosed_advertising and insufficient_context only (per-label F1: [('undisclosed_advertising', 0.89), ('insufficient_context', 0.4)]). Not directly comparable to the full-8-label st3_macro_f1 rows above -- test_st3_macro_f1/dev_st3_macro_f1 columns here are the mean over just these 2 labels."
dd7f95e,940129387,two_label_focus,"{'undisclosed_advertising': {'model': 'logreg_C1.0', 'threshold': np.float64(0.7500000000000001), 'dev_f1': 0.8705877436680977, 'test_f1': 0.8390799621485314, 'test_precision': 0.7849462365591398, 'test_recall': 0.9012345679012346, 'n_train_pos': 271}, 'insufficient_context': {'model': 'logreg_C1.0', 'threshold': np.float64(0.9500000000000001), 'dev_f1': 0.3478256635165835, 'test_f1': 0.33333305555578707, 'test_precision': 0.2, 'test_recall': 1.0, 'n_train_pos': 13}}",0.586,,0.609,,,classical_ml_sklearn,"Dedicated small-feature-set + CV-selected binary classifiers for undisclosed_advertising and insufficient_context only (per-label F1: [('undisclosed_advertising', 0.839), ('insufficient_context', 0.333)]). Not directly comparable to the full-8-label st3_macro_f1 rows above -- test_st3_macro_f1/dev_st3_macro_f1 columns here are the mean over just these 2 labels."
dd7f95e,461512931,two_label_focus,"{'undisclosed_advertising': {'model': 'logreg_C0.1', 'threshold': np.float64(0.7500000000000001), 'dev_f1': 0.8639048331643854, 'test_f1': 0.8777772793212707, 'test_precision': 0.8315789473684211, 'test_recall': 0.9294117647058824, 'n_train_pos': 267}, 'insufficient_context': {'model': 'logreg_C0.1', 'threshold': np.float64(0.9500000000000001), 'dev_f1': 0.3636359297525838, 'test_f1': 0.7499995000003333, 'test_precision': 0.75, 'test_recall': 0.75, 'n_train_pos': 11}}",0.814,,0.614,,,classical_ml_sklearn,"Dedicated small-feature-set + CV-selected binary classifiers for undisclosed_advertising and insufficient_context only (per-label F1: [('undisclosed_advertising', 0.878), ('insufficient_context', 0.75)]). Not directly comparable to the full-8-label st3_macro_f1 rows above -- test_st3_macro_f1/dev_st3_macro_f1 columns here are the mean over just these 2 labels."
